"2016-11-17 21:28:54,354",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,Points,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 21:28:58,249",4,4,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:29:02,068",4,4,102,4,40,40,True,LinearRegression,32,32,200,0,2,55,16,23
"2016-11-17 21:29:05,885",4,4,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:29:09,582",4,4,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:29:13,398",4,4,102,4,40,40,True,LinearRegression,32,32,200,0,21,11,22,10
"2016-11-17 21:29:17,336",4,4,102,4,40,40,True,LinearRegression,32,32,200,0,30,2,30,2
"2016-11-17 21:29:21,253",4,4,102,4,40,40,True,LinearRegression,32,32,200,0,16,20,8,28
"2016-11-17 21:29:25,184",4,4,102,4,40,40,True,LinearRegression,32,32,200,0,2,46,11,26
"2016-11-17 21:29:29,118",4,4,102,4,40,40,True,LinearRegression,32,32,200,1,32,0,32,0
"2016-11-17 21:29:33,329",4,4,102,4,40,40,True,LinearRegression,32,32,200,0,16,16,16,16
