"2017-05-04 06:44:49,698",Is,Rs,Rule,Input size,Input area,Automaton size,Concat before,Estimator,D,Tot. fit time,Final misclassif.,1 out of,1 misclassif
"2017-05-04 06:46:40,411","20","50",106,12,12,12,True,LinearRegression,4,6.63,60,370,60
"2017-05-04 06:48:29,458","20","50",106,12,12,12,True,LinearRegression,4,5.76,57,370,57
"2017-05-04 06:50:17,212","20","50",106,12,12,12,True,LinearRegression,4,4.52,55,370,55
"2017-05-04 06:52:06,937","20","50",106,12,12,12,True,LinearRegression,4,5.09,52,370,52
"2017-05-04 06:53:56,225","20","50",106,12,12,12,True,LinearRegression,4,6.06,58,370,58
"2017-05-04 06:55:46,454","20","50",106,12,12,12,True,LinearRegression,4,6.93,57,370,57
"2017-05-04 06:57:35,720","20","50",106,12,12,12,True,LinearRegression,4,6.80,63,370,63
"2017-05-04 06:59:24,982","20","50",106,12,12,12,True,LinearRegression,4,6.65,59,370,59
"2017-05-04 07:01:17,133","20","50",106,12,12,12,True,LinearRegression,4,6.84,62,370,62
"2017-05-04 07:03:07,115","20","50",106,12,12,12,True,LinearRegression,4,5.81,55,370,55
"2017-05-04 07:04:57,093","20","50",106,12,12,12,True,LinearRegression,4,6.45,51,370,51
"2017-05-04 07:06:50,367","20","50",106,12,12,12,True,LinearRegression,4,6.54,61,370,61
"2017-05-04 07:08:40,987","20","50",106,12,12,12,True,LinearRegression,4,6.80,56,370,56
"2017-05-04 07:10:31,834","20","50",106,12,12,12,True,LinearRegression,4,5.76,62,370,62
"2017-05-04 07:12:20,653","20","50",106,12,12,12,True,LinearRegression,4,4.88,67,370,67
"2017-05-04 07:14:14,274","20","50",106,12,12,12,True,LinearRegression,4,6.91,54,370,54
"2017-05-04 07:16:07,158","20","50",106,12,12,12,True,LinearRegression,4,6.94,62,370,62
"2017-05-04 07:17:59,328","20","50",106,12,12,12,True,LinearRegression,4,7.23,59,370,59
"2017-05-04 07:19:51,191","20","50",106,12,12,12,True,LinearRegression,4,6.94,61,370,61
"2017-05-04 07:21:40,626","20","50",106,12,12,12,True,LinearRegression,4,6.95,63,370,63
"2017-05-04 07:23:32,868","20","50",106,12,12,12,True,LinearRegression,4,7.17,62,370,62
"2017-05-04 07:25:23,582","20","50",106,12,12,12,True,LinearRegression,4,6.90,63,370,63
"2017-05-04 07:27:13,757","20","50",106,12,12,12,True,LinearRegression,4,7.00,60,370,60
"2017-05-04 07:29:04,660","20","50",106,12,12,12,True,LinearRegression,4,6.62,62,370,62
"2017-05-04 07:30:54,688","20","50",106,12,12,12,True,LinearRegression,4,6.90,59,370,59
"2017-05-04 06:48:04,411","20","50",106,12,12,12,True,LinearRegression,4,6.78,62,370,62
"2017-05-04 06:49:54,750","20","50",106,12,12,12,True,LinearRegression,4,6.98,58,370,58
"2017-05-04 06:51:44,668","20","50",106,12,12,12,True,LinearRegression,4,4.61,45,370,45
"2017-05-04 06:53:30,997","20","50",106,12,12,12,True,LinearRegression,4,4.53,51,370,51
"2017-05-04 06:55:19,842","20","50",106,12,12,12,True,LinearRegression,4,4.55,60,370,60
"2017-05-04 06:57:11,149","20","50",106,12,12,12,True,LinearRegression,4,6.61,56,370,56
"2017-05-04 06:58:58,209","20","50",106,12,12,12,True,LinearRegression,4,4.57,66,370,66
"2017-05-04 07:00:48,347","20","50",106,12,12,12,True,LinearRegression,4,6.94,60,370,60
"2017-05-04 07:02:40,309","20","50",106,12,12,12,True,LinearRegression,4,6.83,54,370,54
"2017-05-04 07:04:31,203","20","50",106,12,12,12,True,LinearRegression,4,6.94,50,370,50
"2017-05-04 07:06:21,361","20","50",106,12,12,12,True,LinearRegression,4,6.58,53,370,53
"2017-05-04 07:08:10,988","20","50",106,12,12,12,True,LinearRegression,4,6.52,51,370,51
"2017-05-04 07:10:03,930","20","50",106,12,12,12,True,LinearRegression,4,7.21,59,370,59
"2017-05-04 07:11:57,169","20","50",106,12,12,12,True,LinearRegression,4,6.95,56,370,56
"2017-05-04 07:13:52,255","20","50",106,12,12,12,True,LinearRegression,4,6.81,67,370,67
"2017-05-04 07:15:46,510","20","50",106,12,12,12,True,LinearRegression,4,6.87,62,370,62
"2017-05-04 07:17:33,744","20","50",106,12,12,12,True,LinearRegression,4,5.26,58,370,58
"2017-05-04 07:19:22,094","20","50",106,12,12,12,True,LinearRegression,4,4.79,56,370,56
"2017-05-04 07:21:10,817","20","50",106,12,12,12,True,LinearRegression,4,5.49,59,370,59
"2017-05-04 07:23:02,907","20","50",106,12,12,12,True,LinearRegression,4,5.74,64,370,64
"2017-05-04 07:24:51,878","20","50",106,12,12,12,True,LinearRegression,4,5.01,55,370,55
"2017-05-04 07:26:40,997","20","50",106,12,12,12,True,LinearRegression,4,5.29,69,370,69
"2017-05-04 07:28:28,503","20","50",106,12,12,12,True,LinearRegression,4,4.80,54,370,54
"2017-05-04 07:30:18,015","20","50",106,12,12,12,True,LinearRegression,4,5.49,56,370,56
"2017-05-04 07:32:07,726","20","50",106,12,12,12,True,LinearRegression,4,5.05,61,370,61
"2017-05-04 06:46:28,724","20","50",106,12,12,12,True,LinearRegression,4,5.55,63,370,63
"2017-05-04 06:48:18,246","20","50",106,12,12,12,True,LinearRegression,4,5.68,55,370,55
"2017-05-04 06:50:10,656","20","50",106,12,12,12,True,LinearRegression,4,7.09,59,370,59
"2017-05-04 06:51:58,478","20","50",106,12,12,12,True,LinearRegression,4,6.22,60,370,60
"2017-05-04 06:53:49,795","20","50",106,12,12,12,True,LinearRegression,4,6.98,58,370,58
"2017-05-04 06:55:37,673","20","50",106,12,12,12,True,LinearRegression,4,4.62,46,370,46
"2017-05-04 06:57:25,775","20","50",106,12,12,12,True,LinearRegression,4,4.57,57,370,57
"2017-05-04 06:59:15,431","20","50",106,12,12,12,True,LinearRegression,4,6.12,60,370,60
"2017-05-04 07:01:07,180","20","50",106,12,12,12,True,LinearRegression,4,6.68,53,370,53
"2017-05-04 07:02:58,093","20","50",106,12,12,12,True,LinearRegression,4,6.39,65,370,65
"2017-05-04 07:04:47,685","20","50",106,12,12,12,True,LinearRegression,4,6.33,64,370,64
"2017-05-04 07:06:37,866","20","50",106,12,12,12,True,LinearRegression,4,5.70,68,370,68
"2017-05-04 07:08:28,505","20","50",106,12,12,12,True,LinearRegression,4,4.54,63,370,63
"2017-05-04 07:10:20,422","20","50",106,12,12,12,True,LinearRegression,4,7.00,55,370,55
"2017-05-04 07:12:09,090","20","50",106,12,12,12,True,LinearRegression,4,5.99,61,370,61
"2017-05-04 07:13:55,081","20","50",106,12,12,12,True,LinearRegression,4,4.78,53,370,53
"2017-05-04 07:15:42,047","20","50",106,12,12,12,True,LinearRegression,4,4.98,48,370,48
"2017-05-04 07:17:33,572","20","50",106,12,12,12,True,LinearRegression,4,6.54,56,370,56
"2017-05-04 07:19:23,736","20","50",106,12,12,12,True,LinearRegression,4,6.21,61,370,61
"2017-05-04 07:21:11,919","20","50",106,12,12,12,True,LinearRegression,4,5.64,62,370,62
"2017-05-04 07:22:59,472","20","50",106,12,12,12,True,LinearRegression,4,5.34,52,370,52
"2017-05-04 07:24:51,050","20","50",106,12,12,12,True,LinearRegression,4,7.41,62,370,62
"2017-05-04 07:26:40,888","20","50",106,12,12,12,True,LinearRegression,4,5.52,54,370,54
"2017-05-04 07:28:30,202","20","50",106,12,12,12,True,LinearRegression,4,5.25,57,370,57
"2017-05-04 07:30:18,010","20","50",106,12,12,12,True,LinearRegression,4,4.73,60,370,60
"2017-05-04 08:48:52,989","20","50",106,12,12,12,True,LinearRegression,4,7.44,58,370,58
"2017-05-04 08:51:11,214","20","50",106,12,12,12,True,LinearRegression,4,10.96,64,370,64
"2017-05-04 08:53:36,865","20","50",106,12,12,12,True,LinearRegression,4,15.56,60,370,60
"2017-05-04 08:55:58,392","20","50",106,12,12,12,True,LinearRegression,4,15.06,62,370,62
"2017-05-04 08:58:13,615","20","50",106,12,12,12,True,LinearRegression,4,7.86,59,370,59
"2017-05-04 09:00:32,996","20","50",106,12,12,12,True,LinearRegression,4,13.97,67,370,67
"2017-05-04 09:02:55,489","20","50",106,12,12,12,True,LinearRegression,4,14.94,52,370,52
"2017-05-04 09:05:07,875","20","50",106,12,12,12,True,LinearRegression,4,8.15,58,370,58
"2017-05-04 09:07:27,281","20","50",106,12,12,12,True,LinearRegression,4,11.72,58,370,58
"2017-05-04 09:09:50,883","20","50",106,12,12,12,True,LinearRegression,4,15.47,59,370,59
"2017-05-04 09:12:06,819","20","50",106,12,12,12,True,LinearRegression,4,9.04,54,370,54
"2017-05-04 09:14:20,953","20","50",106,12,12,12,True,LinearRegression,4,8.50,59,370,59
"2017-05-04 09:16:41,320","20","50",106,12,12,12,True,LinearRegression,4,13.65,61,370,61
"2017-05-04 09:19:04,257","20","50",106,12,12,12,True,LinearRegression,4,15.66,57,370,57
"2017-05-04 09:21:16,080","20","50",106,12,12,12,True,LinearRegression,4,8.95,57,370,57
"2017-05-04 09:23:37,753","20","50",106,12,12,12,True,LinearRegression,4,13.70,64,370,64
"2017-05-04 09:25:58,804","20","50",106,12,12,12,True,LinearRegression,4,15.13,54,370,54
"2017-05-04 09:28:14,357","20","50",106,12,12,12,True,LinearRegression,4,8.35,66,370,66
"2017-05-04 09:30:30,837","20","50",106,12,12,12,True,LinearRegression,4,12.00,61,370,61
"2017-05-04 09:32:48,376","20","50",106,12,12,12,True,LinearRegression,4,10.36,55,370,55
"2017-05-04 09:35:12,798","20","50",106,12,12,12,True,LinearRegression,4,15.32,57,370,57
"2017-05-04 09:37:22,320","20","50",106,12,12,12,True,LinearRegression,4,8.22,56,370,56
"2017-05-04 09:39:45,378","20","50",106,12,12,12,True,LinearRegression,4,15.58,56,370,56
"2017-05-04 09:42:03,754","20","50",106,12,12,12,True,LinearRegression,4,11.15,61,370,61
"2017-05-04 09:44:16,908","20","50",106,12,12,12,True,LinearRegression,4,8.14,56,370,56
